Year,Official Code State,Official Name State,Official Code Local Government Area,Official Name Local Government Area,Iso 3166-3 Area Code,Type,Long Official Name Local Government Area
2021,5,Western Australia,52800,Derby-West Kimberley,AUS,local government area,Derby-West Kimberley
2021,5,Western Australia,53570,Gingin,AUS,local government area,Gingin
2021,5,Western Australia,55600,Moora,AUS,local government area,Moora
2021,5,Western Australia,57840,South Perth,AUS,local government area,South Perth
2021,5,Western Australia,53430,Fremantle,AUS,local government area,Fremantle
2021,5,Western Australia,54620,Kondinin,AUS,local government area,Kondinin
2021,5,Western Australia,55950,Mukinbudin,AUS,local government area,Mukinbudin
2021,5,Western Australia,56230,Murray,AUS,local government area,Murray
2021,5,Western Australia,59360,Yilgarn,AUS,local government area,Yilgarn
2021,5,Western Australia,53640,Gnowangerup,AUS,local government area,Gnowangerup
2021,5,Western Australia,56930,Peppermint Grove,AUS,local government area,Peppermint Grove
2021,5,Western Australia,50980,Broome,AUS,local government area,Broome
2021,5,Western Australia,51120,Bruce Rock,AUS,local government area,Bruce Rock
2021,5,Western Australia,52380,Cue,AUS,local government area,Cue
2021,5,Western Australia,57140,Pingelly,AUS,local government area,Pingelly
2021,5,Western Australia,57210,Plantagenet,AUS,local government area,Plantagenet
2021,5,Western Australia,57490,Rockingham,AUS,local government area,Rockingham
2021,5,Western Australia,54060,Irwin,AUS,local government area,Irwin
2021,5,Western Australia,54690,Koorda,AUS,local government area,Koorda
2021,5,Western Australia,54830,Kwinana,AUS,local government area,Kwinana
2021,5,Western Australia,55320,Melville,AUS,local government area,Melville
2021,5,Western Australia,55250,Meekatharra,AUS,local government area,Meekatharra
2021,5,Western Australia,59030,Westonia,AUS,local government area,Westonia
2021,5,Western Australia,50210,Armadale,AUS,local government area,Armadale
2021,5,Western Australia,51400,Capel,AUS,local government area,Capel
2021,5,Western Australia,53010,Dumbleyung,AUS,local government area,Dumbleyung
2021,5,Western Australia,54310,Karratha,AUS,local government area,Karratha
2021,5,Western Australia,54340,Katanning,AUS,local government area,Katanning
2021,5,Western Australia,55110,Mandurah,AUS,local government area,Mandurah
2021,5,Western Australia,55740,Mosman Park,AUS,local government area,Mosman Park
2021,5,Western Australia,53920,Halls Creek,AUS,local government area,Halls Creek
2021,5,Western Australia,51960,Coolgardie,AUS,local government area,Coolgardie
2021,5,Western Australia,54760,Kulin,AUS,local government area,Kulin
2021,5,Western Australia,57000,Perenjori,AUS,local government area,Perenjori
2021,5,Western Australia,57280,Port Hedland,AUS,local government area,Port Hedland
2021,5,Western Australia,58400,Trayning,AUS,local government area,Trayning
2021,5,Western Australia,59170,Williams,AUS,local government area,Williams
2021,5,Western Australia,59330,Wyalkatchem,AUS,local government area,Wyalkatchem
2021,5,Western Australia,50490,Belmont,AUS,local government area,Belmont
2021,5,Western Australia,56790,Northampton,AUS,local government area,Northampton
2021,5,Western Australia,58050,Swan,AUS,local government area,Swan
2021,5,Western Australia,59350,Yalgoo,AUS,local government area,Yalgoo
2021,5,Western Australia,51750,Claremont,AUS,local government area,Claremont
2021,5,Western Australia,53290,Esperance,AUS,local government area,Esperance
2021,5,Western Australia,54130,Jerramungup,AUS,local government area,Jerramungup
2021,5,Western Australia,58260,Three Springs,AUS,local government area,Three Springs
2021,5,Western Australia,58890,West Arthur,AUS,local government area,West Arthur
2021,5,Western Australia,51540,Carnarvon,AUS,local government area,Carnarvon
2021,5,Western Australia,51610,Chapman Valley,AUS,local government area,Chapman Valley
2021,5,Western Australia,55670,Morawa,AUS,local government area,Morawa
2021,5,Western Australia,56090,Mundaring,AUS,local government area,Mundaring
2021,5,Western Australia,58190,Tammin,AUS,local government area,Tammin
2021,5,Western Australia,58760,Wanneroo,AUS,local government area,Wanneroo
2021,5,Western Australia,52520,Dalwallinu,AUS,local government area,Dalwallinu
2021,5,Western Australia,53360,Exmouth,AUS,local government area,Exmouth
2021,5,Western Australia,54900,Lake Grace,AUS,local government area,Lake Grace
2021,5,Western Australia,55390,Menzies,AUS,local government area,Menzies
2021,5,Western Australia,56620,Ngaanyatjarraku,AUS,local government area,Ngaanyatjarraku
2021,5,Western Australia,56730,Northam,AUS,local government area,Northam
2021,5,Western Australia,53080,Dundas,AUS,local government area,Dundas
2021,5,Western Australia,58540,Victoria Plains,AUS,local government area,Victoria Plains
2021,5,Western Australia,51330,Canning,AUS,local government area,Canning
2021,5,Western Australia,52100,Corrigin,AUS,local government area,Corrigin
2021,5,Western Australia,52450,Cunderdin,AUS,local government area,Cunderdin
2021,5,Western Australia,56370,Narembeen,AUS,local government area,Narembeen
2021,5,Western Australia,59340,Wyndham-East Kimberley,AUS,local government area,Wyndham-East Kimberley
2021,5,Western Australia,51470,Carnamah,AUS,local government area,Carnamah
2021,5,Western Australia,53780,Gosnells,AUS,local government area,Gosnells
2021,5,Western Australia,54480,Kent,AUS,local government area,Kent
2021,5,Western Australia,56860,Nungarin,AUS,local government area,Nungarin
2021,5,Western Australia,58330,Toodyay,AUS,local government area,Toodyay
2021,5,Western Australia,58680,Wandering,AUS,local government area,Wandering
2021,5,Western Australia,59100,Wickepin,AUS,local government area,Wickepin
2021,5,Western Australia,50770,Boyup Brook,AUS,local government area,Boyup Brook
2021,5,Western Australia,51680,Chittering,AUS,local government area,Chittering
2021,5,Western Australia,52240,Cranbrook,AUS,local government area,Cranbrook
2021,5,Western Australia,52660,Dardanup,AUS,local government area,Dardanup
2021,5,Western Australia,55880,Mount Marshall,AUS,local government area,Mount Marshall
2021,5,Western Australia,57080,Perth,AUS,local government area,Perth
2021,5,Western Australia,57770,Shark Bay,AUS,local government area,Shark Bay
2021,5,Western Australia,58570,Vincent,AUS,local government area,Vincent
2021,5,Western Australia,58610,Wagin,AUS,local government area,Wagin
2021,5,Western Australia,58820,Waroona,AUS,local government area,Waroona
2021,5,Western Australia,59250,Wiluna,AUS,local government area,Wiluna
2021,5,Western Australia,59370,York,AUS,local government area,York
2021,5,Western Australia,51260,Busselton,AUS,local government area,Busselton
2021,5,Western Australia,58510,Victoria Park,AUS,local government area,Victoria Park
2021,5,Western Australia,50560,Beverley,AUS,local government area,Beverley
2021,5,Western Australia,54200,Kalamunda,AUS,local government area,Kalamunda
2021,5,Western Australia,54970,Laverton,AUS,local government area,Laverton
2021,5,Western Australia,50630,Boddington,AUS,local government area,Boddington
2021,5,Western Australia,52310,Cuballing,AUS,local government area,Cuballing
2021,5,Western Australia,52590,Dandaragan,AUS,local government area,Dandaragan
2021,5,Western Australia,53150,East Fremantle,AUS,local government area,East Fremantle
2021,5,Western Australia,53220,East Pilbara,AUS,local government area,East Pilbara
2021,5,Western Australia,57420,Ravensthorpe,AUS,local government area,Ravensthorpe
2021,5,Western Australia,57630,Sandstone,AUS,local government area,Sandstone
2021,5,Western Australia,50080,Albany,AUS,local government area,Albany
2021,5,Western Australia,54280,Kalgoorlie-Boulder,AUS,local government area,Kalgoorlie-Boulder
2021,5,Western Australia,54410,Kellerberrin,AUS,local government area,Kellerberrin
2021,5,Western Australia,57700,Serpentine-Jarrahdale,AUS,local government area,Serpentine-Jarrahdale
2021,5,Western Australia,50840,Bridgetown-Greenbushes,AUS,local government area,Bridgetown-Greenbushes
2021,5,Western Australia,51310,Cambridge,AUS,local government area,Cambridge
2021,5,Western Australia,56160,Murchison,AUS,local government area,Murchison
2021,5,Western Australia,56300,Nannup,AUS,local government area,Nannup
2021,5,Western Australia,56460,Narrogin,AUS,local government area,Narrogin
2021,5,Western Australia,57910,Stirling,AUS,local government area,Stirling
2021,5,Western Australia,59310,Wongan-Ballidu,AUS,local government area,Wongan-Ballidu
2021,5,Western Australia,50250,Ashburton,AUS,local government area,Ashburton
2021,5,Western Australia,51080,Broomehill-Tambellup,AUS,local government area,Broomehill-Tambellup
2021,5,Western Australia,51890,Collie,AUS,local government area,Collie
2021,5,Western Australia,52940,Dowerin,AUS,local government area,Dowerin
2021,5,Western Australia,59320,Woodanilling,AUS,local government area,Woodanilling
2021,5,Western Australia,52170,Cottesloe,AUS,local government area,Cottesloe
2021,5,Western Australia,53710,Goomalling,AUS,local government area,Goomalling
2021,5,Western Australia,50910,Brookton,AUS,local government area,Brookton
2021,5,Western Australia,51820,Cockburn,AUS,local government area,Cockburn
2021,5,Western Australia,57980,Subiaco,AUS,local government area,Subiaco
2021,5,Western Australia,50350,Bassendean,AUS,local government area,Bassendean
2021,5,Western Australia,52030,Coorow,AUS,local government area,Coorow
2021,5,Western Australia,52730,Denmark,AUS,local government area,Denmark
2021,5,Western Australia,53990,Harvey,AUS,local government area,Harvey
2021,5,Western Australia,55180,Manjimup,AUS,local government area,Manjimup
2021,5,Western Australia,55530,Mingenew,AUS,local government area,Mingenew
2021,5,Western Australia,55810,Mount Magnet,AUS,local government area,Mount Magnet
2021,5,Western Australia,50280,Augusta Margaret River,AUS,local government area,Augusta Margaret River
2021,5,Western Australia,52870,Donnybrook-Balingup,AUS,local government area,Donnybrook-Balingup
2021,5,Western Australia,53800,Greater Geraldton,AUS,local government area,Greater Geraldton
2021,5,Western Australia,54550,Kojonup,AUS,local government area,Kojonup
2021,5,Western Australia,55040,Leonora,AUS,local government area,Leonora
2021,5,Western Australia,55460,Merredin,AUS,local government area,Merredin
2021,5,Western Australia,56580,Nedlands,AUS,local government area,Nedlands
2021,5,Western Australia,58470,Upper Gascoyne,AUS,local government area,Upper Gascoyne
2021,5,Western Australia,50420,Bayswater,AUS,local government area,Bayswater
2021,5,Western Australia,51190,Bunbury,AUS,local government area,Bunbury
2021,5,Western Australia,54170,Joondalup,AUS,local government area,Joondalup
2021,5,Western Australia,57350,Quairading,AUS,local government area,Quairading
